Frequency_THz,R_air,R_water
1.507653826913456783e+02,8.913876887080026679e-01,8.912109025624164182e-01
1.508054027013506868e+02,8.913556724715023805e-01,8.911739861659537798e-01
1.508454227113556669e+02,8.913236562251228845e-01,8.911369422167593202e-01
1.508854427213606755e+02,8.912916399684497337e-01,8.910997676370756571e-01
1.509254627313656840e+02,8.912596237010518285e-01,8.910624592816600575e-01
1.509654827413706926e+02,8.912276074224806388e-01,8.910250139364847000e-01
1.510055027513756727e+02,8.911955911322689827e-01,8.909874283174177290e-01
1.510455227613806812e+02,8.911635748299316928e-01,8.909496990688834384e-01
1.510855427713856898e+02,8.911315585149630625e-01,8.909118227625006936e-01
1.511255627813906983e+02,8.910995421868378452e-01,8.908737958957022585e-01
1.511655827913957069e+02,8.910675258450091452e-01,8.908356148903304739e-01
1.512056028014006870e+02,8.910355094889083061e-01,8.907972760912142851e-01
1.512456228114056955e+02,8.910034931179438011e-01,8.907587757647215110e-01
1.512856428214107041e+02,8.909714767315002337e-01,8.907201100972921282e-01
1.513256628314157126e+02,8.909394603289380044e-01,8.906812751939479078e-01
1.513656828414207212e+02,8.909074439095915343e-01,8.906422670767801808e-01
1.514057028514257013e+02,8.908754274727691547e-01,8.906030816834156205e-01
1.514457228614307098e+02,8.908434110177509968e-01,8.905637148654580448e-01
1.514857428714357184e+02,8.908113945437893255e-01,8.905241623869100120e-01
1.515257628814407269e+02,8.907793780501060965e-01,8.904844199225681045e-01
1.515657828914457355e+02,8.907473615358926233e-01,8.904444830563977842e-01
1.516058029014507156e+02,8.907153450003083561e-01,8.904043472798837122e-01
1.516458229114557241e+02,8.906833284424792163e-01,8.903640079903561988e-01
1.516858429214607327e+02,8.906513118614968194e-01,8.903234604892946713e-01
1.517258629314657412e+02,8.906192952564168097e-01,8.902826999806063846e-01
1.517658829414707498e+02,8.905872786262579721e-01,8.902417215688827046e-01
1.518059029514757299e+02,8.905552619700001227e-01,8.902005202576283027e-01
1.518459229614807384e+02,8.905232452865829984e-01,8.901590909474688118e-01
1.518859429714857470e+02,8.904912285749051470e-01,8.901174284343321697e-01
1.519259629814907555e+02,8.904592118338217066e-01,8.900755274076055379e-01
1.519659829914957356e+02,8.904271950621434062e-01,8.900333824482679068e-01
1.520060030015007442e+02,8.903951782586340125e-01,8.899909880269961659e-01
1.520460230115057527e+02,8.903631614220095525e-01,8.899483385022478599e-01
1.520860430215107613e+02,8.903311445509359823e-01,8.899054281183170767e-01
1.521260630315157698e+02,8.902991276440272994e-01,8.898622510033649124e-01
1.521660830415207499e+02,8.902671106998438777e-01,8.898188011674259545e-01
1.522061030515257585e+02,8.902350937168901357e-01,8.897750725003857886e-01
1.522461230615307670e+02,8.902030766936128714e-01,8.897310587699359674e-01
1.522861430715357756e+02,8.901710596283985977e-01,8.896867536195004478e-01
1.523261630815407557e+02,8.901390425195720990e-01,8.896421505661372686e-01
1.523661830915457642e+02,8.901070253653929898e-01,8.895972429984128071e-01
1.524062031015507728e+02,8.900750081640541600e-01,8.895520241742506107e-01
1.524462231115557813e+02,8.900429909136794437e-01,8.895064872187532501e-01
1.524862431215607899e+02,8.900109736123203996e-01,8.894606251219971949e-01
1.525262631315657700e+02,8.899789562579543123e-01,8.894144307368019309e-01
1.525662831415707785e+02,8.899469388484806398e-01,8.893678967764708787e-01
1.526063031515757871e+02,8.899149213817189041e-01,8.893210158125065545e-01
1.526463231615807956e+02,8.898829038554059156e-01,8.892737802722988638e-01
1.526863431715858042e+02,8.898508862671916653e-01,8.892261824367846401e-01
1.527263631815907843e+02,8.898188686146374371e-01,8.891782144380826480e-01
1.527663831915957928e+02,8.897868508952115896e-01,8.891298682570989431e-01
1.528064032016008014e+02,8.897548331062868909e-01,8.890811357211069188e-01
1.528464232116058099e+02,8.897228152451364114e-01,8.890320085012984874e-01
1.528864432216108185e+02,8.896907973089306365e-01,8.889824781103096152e-01
1.529264632316157986e+02,8.896587792947330264e-01,8.889325358997168802e-01
1.529664832416208071e+02,8.896267611994963520e-01,8.888821730575079405e-01
1.530065032516258157e+02,8.895947430200594752e-01,8.888313806055239130e-01
1.530465232616308242e+02,8.895627247531416870e-01,8.887801493968748856e-01
1.530865432716358043e+02,8.895307063953402649e-01,8.887284701133277842e-01
1.531265632816408129e+02,8.894986879431244775e-01,8.886763332626665957e-01
1.531665832916458214e+02,8.894666693928316992e-01,8.886237291760258339e-01
